hex	field	level	de_lines	en_lines	errors	notes	de_first_line
22	judgment_comentario	de_book_extra	2	1	0	1 Bemerkung/anotación en comentario — válido en Wilhelm DE, revisar si Baynes omitió.	Die Anmut bringt Gelingen. Aber sie ist nicht das Wesentliche, die Grundlage, sondern nur die Verzierung. Daher darf sie nur sparsam, im Kleinen angewandt werden. In dem unteren Zeichen, Feuer, tritt eine weiche Linie zwischen zwei starke und macht sie schön; die starken aber sind das Wesen, die schwache Linie ist die verschönernde Form. Im oberen Zeichen, Berg, tritt die starke Linie bestimmend an die Spitze, so daß sie auch hier als ausschlaggebend in Betracht kommt. In der Natur sieht man am Himmel das starke Licht der Sonne. Auf ihr beruht das Leben der Welt. Aber dieses Starke, Wesentliche wird umgewandelt und findet anmutige Abwechslung durch Mond und Sterne. Im Menschenleben besteht die schöne Form darin, daß wie Berge feststehende, starke Ordnungen da sind, die durch die klare Schönheit gefällig gemacht werden. Die Betrachtung der Formen am Himmel verleiht die Fähigkeit, die Zeit und ihre wechselnden Anforderungen zu verstehen. Die Betrachtung der Formen im Menschenleben verleiht die Möglichkeit, die Welt zu gestalten.
30	judgment_comentario	de_book_extra	3	2	0	1 Bemerkung/anotación en comentario — válido en Wilhelm DE, revisar si Baynes omitió.	Das Dunkle haftet am Lichten und vollendet so dessen Helligkeit. Indem das Helle Licht ausstrahlt, bedarf es des Beharrlichen im Innern, damit es sich nicht restlos verbrennt, sondern dauernd leuchten kann. Alles Leuchtende in der Welt ist abhängig von etwas, an dem es haftet, damit es dauernd leuchten kann.
60	L1_comentario	de_book_extra	2	2	0	1 Bemerkung/anotación en comentario — válido en Wilhelm DE, revisar si Baynes omitió.	Oft möchte man etwas unternehmen, sieht sich aber unübersteigbaren Schranken gegenüber. Da gilt es, die Einsicht zu haben, wo man innehalten muß. Wenn man das richtig versteht und nicht über die Schranken hinausgeht, die einem gesteckt sind, dann sammelt man eine Kraft, daß man imstande ist, energisch zu handeln, wenn die Zeit dazu gekommen ist. Verschwiegenheit ist bei Vorbereitung wichtiger Dinge von prinzipieller Wichtigkeit.
61	L2_comentario	de_book_extra	4	3	0	1 Bemerkung/anotación en comentario — válido en Wilhelm DE, revisar si Baynes omitió.	Ich habe einen guten Becher. Ich will ihn mit dir teilen.
40	L3_comentario	de_book_extra	2	2	0	1 Bemerkung/anotación en comentario — válido en Wilhelm DE, revisar si Baynes omitió.	Ein Mensch ist aus ärmlichen Verhältnissen heraus in eine bequeme Lage gekommen, da er von Not befreit ist. Wenn er nun nach Art eines Emporkömmlings es sich bequem machen will, ohne doch in seinem Wesen zu den bequemen Verhältnissen zu passen, so zieht er dadurch Räuber an, und wenn er so fort macht, gerät er bestimmt in Schande.
47	L3_comentario	de_book_extra	3	2	0	1 Bemerkung/anotación en comentario — válido en Wilhelm DE, revisar si Baynes omitió.	Man geht in sein Haus und sieht nicht seine Frau. Unheil!
29	L4_comentario	de_book_extra	3	2	0	1 Bemerkung/anotación en comentario — válido en Wilhelm DE, revisar si Baynes omitió.	In Zeiten der Gefahr hören die umständlichen Formen auf. Die Hauptsache ist die wahrhaftige Gesinnung. Ein Beamter braucht für gewöhnlich, ehe er eingestellt wird, bestimmte Einführungsgeschenke und Empfehlungen. Hier ist alles aufs äußerste vereinfacht. Die Geschenke sind dürftig, ein Empfehlender ist nicht da, man stellt sich selber vor, und dennoch braucht man sich alles dessen nicht zu schämen, wenn man nur die ehrliche Absicht hat, einander zu helfen in der Gefahr.
1	L5_comentario	de_book_extra	2	2	0	1 Bemerkung/anotación en comentario — válido en Wilhelm DE, revisar si Baynes omitió.	Hier ist der große Mann in der Sphäre der Himmlischen angelangt. Sein Einfluß erstreckt sich weithin sichtbar über die ganze Welt. Jeder, der ihn sieht, kann sich selig preisen.
13	L5_comentario	de_book_extra	11	9	0	1 Bemerkung/anotación en comentario — válido en Wilhelm DE, revisar si Baynes omitió.	Nach großen Kämpfen gelingt es ihnen, sich zu treffen.
40	L6_comentario	de_book_extra	2	2	0	1 Bemerkung/anotación en comentario — válido en Wilhelm DE, revisar si Baynes omitió.	Der Habicht auf hoher Mauer ist das Bild eines machtvollen Gemeinen an hoher Stelle, der die Befreiung hindert. Er widersteht der Einwirkung durch innere Einflüsse, da er in seiner Bosheit verhärtet ist. Er muß gewaltsam beseitigt werden; dazu bedarf es der entsprechenden Mittel.
64	L6_comentario	de_book_extra	2	1	0	1 Bemerkung/anotación en comentario — válido en Wilhelm DE, revisar si Baynes omitió.	Vor der Vollendung an der Grenze der neuen Zeit ist man im vollen gegenseitigen Vertrauen mit den Seinen zusammen und verbringt die Zeit des Wartens beim Wein. Da die neue Zeit schon unmittelbar vor der Tür steht, ist das kein Makel. Nur muß man dabei auf das rechte Maß be dacht sein. Wenn man sich den Kopf im Übermut begießt, so verliert man die günstige Lage durch Unmäßigkeit.
