hex	field	classification	score_pct	opening_score_pct	verdict	label	de_preview	mt_en_preview	baynes_en_preview	notes
1	nombre	pair	100%	100%	strong_align	Alineación fuerte	DAS SCHÖPFERISCHE	THE CREATIVE	The Creative	Primera línea alineada (Jaccard 100%). | Solapamiento léxico alto MT↔Baynes (100%).
2	nombre	pair	0%	0%	divergent	Divergente	DAS EMPFANGENDE	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 20 HOURS 21 MINUTES 57 SECONDS VISIT HTTPS://MYMEMOR…	The Receptive	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
3	nombre	pair	0%	0%	divergent	Divergente	DIE ANFANGSSCHWIERIGKEIT	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 20 HOURS 21 MINUTES 35 SECONDS VISIT HTTPS://MYMEMOR…	Difficulty at the Beginning	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
4	nombre	pair	0%	0%	divergent	Divergente	DIE JUGENDTORHEIT	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 20 HOURS 21 MINUTES 18 SECONDS VISIT HTTPS://MYMEMOR…	Youthful Folly	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
5	nombre	pair	0%	0%	divergent	Divergente	DAS WARTEN (DIE ERNÄHRUNG)	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 03 HOURS 29 MINUTES 52 SECONDS VISIT HTTPS://MYMEMOR…	Waiting (Nourishment)	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
6	nombre	pair	0%	0%	divergent	Divergente	DER STREIT	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 20 HOURS 20 MINUTES 58 SECONDS VISIT HTTPS://MYMEMOR…	Conflict	Solapamiento léxico bajo MT↔Baynes (0%).
7	nombre	pair	0%	0%	divergent	Divergente	DAS HEER	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 20 HOURS 20 MINUTES 50 SECONDS VISIT HTTPS://MYMEMOR…	The Army	Solapamiento léxico bajo MT↔Baynes (0%).
8	nombre	pair	0%	0%	divergent	Divergente	DAS ZUSAMMENHALTEN	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 20 HOURS 20 MINUTES 41 SECONDS VISIT HTTPS://MYMEMOR…	Holding Together [Union]	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
9	nombre	pair	0%	0%	divergent	Divergente	DES KLEINEN ZÄHMUNGSKRAFT	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 03 HOURS 29 MINUTES 51 SECONDS VISIT HTTPS://MYMEMOR…	The Taming Power of the Small	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
10	nombre	pair	0%	0%	divergent	Divergente	DAS AUFTRETEN	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 20 HOURS 20 MINUTES 21 SECONDS VISIT HTTPS://MYMEMOR…	Treading [Conduct]	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
11	nombre	pair	0%	0%	divergent	Divergente	DER FRIEDE	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 20 HOURS 20 MINUTES 13 SECONDS VISIT HTTPS://MYMEMOR…	Peace	Solapamiento léxico bajo MT↔Baynes (0%).
12	nombre	pair	0%	0%	divergent	Divergente	DIE STOCKUNG	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 20 HOURS 20 MINUTES 01 SECONDS VISIT HTTPS://MYMEMOR…	Standstill [Stagnation]	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
13	nombre	pair	0%	0%	divergent	Divergente	GEMEINSCHAFT MIT MENSCHEN	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 03 HOURS 29 MINUTES 51 SECONDS VISIT HTTPS://MYMEMOR…	Fellowship with Men	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
14	nombre	pair	0%	0%	divergent	Divergente	DER BESITZ VON GROSSEM	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 20 HOURS 19 MINUTES 43 SECONDS VISIT HTTPS://MYMEMOR…	Posession in Great Measure	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
15	nombre	pair	0%	0%	divergent	Divergente	DIE BESCHEIDENHEIT	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 20 HOURS 19 MINUTES 33 SECONDS VISIT HTTPS://MYMEMOR…	Modesty	DE mucho más largo que Baynes (18 vs 7 chars) — posible mezcla de comentario Wilhelm en campo oráculo. | Solapamiento léxico bajo MT↔Baynes (0%).
16	nombre	pair	0%	0%	divergent	Divergente	DIE BEGEISTERUNG	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 20 HOURS 19 MINUTES 24 SECONDS VISIT HTTPS://MYMEMOR…	Enthusiasm	Solapamiento léxico bajo MT↔Baynes (0%).
17	nombre	pair	0%	0%	divergent	Divergente	DIE NACHFOLGE	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 20 HOURS 19 MINUTES 16 SECONDS VISIT HTTPS://MYMEMOR…	Following	Solapamiento léxico bajo MT↔Baynes (0%).
18	nombre	pair	0%	0%	divergent	Divergente	DIE ARBEIT AM VERDORBENEN	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 20 HOURS 19 MINUTES 09 SECONDS VISIT HTTPS://MYMEMOR…	Work on What Has Been Spoiled [Decay]	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
19	nombre	pair	0%	0%	divergent	Divergente	DIE ANNÄHERUNG	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 03 HOURS 29 MINUTES 51 SECONDS VISIT HTTPS://MYMEMOR…	Approach	Solapamiento léxico bajo MT↔Baynes (0%).
20	nombre	pair	0%	0%	divergent	Divergente	DIE BETRACHTUNG (DER ANBLICK)	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 03 HOURS 29 MINUTES 51 SECONDS VISIT HTTPS://MYMEMOR…	Contemplation (View)	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
21	nombre	pair	0%	0%	divergent	Divergente	DAS DURCHBEISSEN	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 20 HOURS 18 MINUTES 49 SECONDS VISIT HTTPS://MYMEMOR…	Biting Through	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
22	nombre	pair	0%	0%	divergent	Divergente	DIE ANMUT	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 20 HOURS 18 MINUTES 41 SECONDS VISIT HTTPS://MYMEMOR…	Grace	Solapamiento léxico bajo MT↔Baynes (0%).
23	nombre	pair	0%	0%	divergent	Divergente	DIE ZERSPLITTERUNG	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 20 HOURS 18 MINUTES 31 SECONDS VISIT HTTPS://MYMEMOR…	Splitting Apart	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
24	nombre	pair	0%	0%	divergent	Divergente	DIE WIEDERKEHR (DIE WENDEZEIT)	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 20 HOURS 18 MINUTES 25 SECONDS VISIT HTTPS://MYMEMOR…	Return (The Turning Point)	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
25	nombre	pair	0%	0%	divergent	Divergente	DIE UNSCHULD (DAS UNERWARTETE)	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 03 HOURS 29 MINUTES 51 SECONDS VISIT HTTPS://MYMEMOR…	Innocence (The Unexpected)	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
26	nombre	pair	0%	0%	divergent	Divergente	DES GROSSEN ZÄHMUNGSKRAFT	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 03 HOURS 29 MINUTES 51 SECONDS VISIT HTTPS://MYMEMOR…	The Taming Power of the Great	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
27	nombre	pair	0%	0%	divergent	Divergente	DIE MUNDWINKEL (DIE ERNÄHRUNG)	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 20 HOURS 18 MINUTES 00 SECONDS VISIT HTTPS://MYMEMOR…	The Corners of the Mouth	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
28	nombre	pair	0%	0%	divergent	Divergente	DES GROSSEN ÜBERGEWICHT	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 03 HOURS 29 MINUTES 51 SECONDS VISIT HTTPS://MYMEMOR…	Preponderance of the Great	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
29	nombre	pair	0%	0%	divergent	Divergente	DAS ABGRÜNDIGE, DAS WASSER	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 03 HOURS 29 MINUTES 51 SECONDS VISIT HTTPS://MYMEMOR…	The Abysmal (Water)	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
30	nombre	pair	0%	0%	divergent	Divergente	DAS HAFTENDE, DAS FEUER	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 20 HOURS 17 MINUTES 32 SECONDS VISIT HTTPS://MYMEMOR…	The Clinging, Fire	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
31	nombre	pair	0%	0%	divergent	Divergente	DIE EINWIRKUNG (DIE WERBUNG)	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 03 HOURS 29 MINUTES 51 SECONDS VISIT HTTPS://MYMEMOR…	Influence (Wooing)	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
32	nombre	pair	0%	0%	divergent	Divergente	DIE DAUER	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 20 HOURS 17 MINUTES 15 SECONDS VISIT HTTPS://MYMEMOR…	Duration	Solapamiento léxico bajo MT↔Baynes (0%).
33	nombre	pair	0%	0%	divergent	Divergente	DER RÜCKZUG	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 20 HOURS 17 MINUTES 08 SECONDS VISIT HTTPS://MYMEMOR…	Retreat	Solapamiento léxico bajo MT↔Baynes (0%).
34	nombre	pair	0%	0%	divergent	Divergente	DES GROSSEN MACHT	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 03 HOURS 29 MINUTES 50 SECONDS VISIT HTTPS://MYMEMOR…	The Power of the Great	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
35	nombre	pair	0%	0%	divergent	Divergente	DER FORTSCHRITT	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 20 HOURS 16 MINUTES 53 SECONDS VISIT HTTPS://MYMEMOR…	Progress	Solapamiento léxico bajo MT↔Baynes (0%).
36	nombre	pair	0%	0%	divergent	Divergente	DIE VERFINSTERUNG DES LICHTS	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 03 HOURS 29 MINUTES 50 SECONDS VISIT HTTPS://MYMEMOR…	Darkening of the Light	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
37	nombre	pair	0%	0%	divergent	Divergente	DIE SIPPE	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 20 HOURS 16 MINUTES 39 SECONDS VISIT HTTPS://MYMEMOR…	The Family [The Clan]	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
38	nombre	pair	0%	0%	divergent	Divergente	DER GEGENSATZ	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 20 HOURS 16 MINUTES 31 SECONDS VISIT HTTPS://MYMEMOR…	Opposition	Solapamiento léxico bajo MT↔Baynes (0%).
39	nombre	pair	0%	0%	divergent	Divergente	DAS HEMMNIS	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 20 HOURS 16 MINUTES 21 SECONDS VISIT HTTPS://MYMEMOR…	Obstruction	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
40	nombre	pair	0%	0%	divergent	Divergente	DIE BEFREIUNG	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 20 HOURS 16 MINUTES 11 SECONDS VISIT HTTPS://MYMEMOR…	Deliverance	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
41	nombre	pair	0%	0%	divergent	Divergente	DIE MINDERUNG	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 20 HOURS 16 MINUTES 04 SECONDS VISIT HTTPS://MYMEMOR…	Decrease	Solapamiento léxico bajo MT↔Baynes (0%).
42	nombre	pair	0%	0%	divergent	Divergente	DIE MEHRUNG	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 20 HOURS 15 MINUTES 54 SECONDS VISIT HTTPS://MYMEMOR…	Increase	Solapamiento léxico bajo MT↔Baynes (0%).
43	nombre	pair	0%	0%	divergent	Divergente	DER DURCHBRUCH (DIE ENTSCHLOSSENHEIT)	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 03 HOURS 29 MINUTES 50 SECONDS VISIT HTTPS://MYMEMOR…	Break-through (Resoluteness)	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
44	nombre	pair	0%	0%	divergent	Divergente	DAS ENTGEGENKOMMEN	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 20 HOURS 15 MINUTES 33 SECONDS VISIT HTTPS://MYMEMOR…	Coming to Meet	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
45	nombre	pair	0%	0%	divergent	Divergente	DIE SAMMLUNG	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 20 HOURS 15 MINUTES 24 SECONDS VISIT HTTPS://MYMEMOR…	Gathering Together [Massing]	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
46	nombre	pair	0%	0%	divergent	Divergente	DAS EMPORDRINGEN	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 20 HOURS 15 MINUTES 16 SECONDS VISIT HTTPS://MYMEMOR…	Pushing Upward	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
47	nombre	pair	0%	0%	divergent	Divergente	DIE BEDRÄNGNIS	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 20 HOURS 15 MINUTES 09 SECONDS VISIT HTTPS://MYMEMOR…	Oppression (Exhaustion)	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
48	nombre	pair	0%	0%	divergent	Divergente	DER BRUNNEN	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 20 HOURS 14 MINUTES 59 SECONDS VISIT HTTPS://MYMEMOR…	The Well	Solapamiento léxico bajo MT↔Baynes (0%).
49	nombre	pair	0%	0%	divergent	Divergente	DIE UMWÄLZUNG (DIE MAUSERUNG)	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 03 HOURS 29 MINUTES 50 SECONDS VISIT HTTPS://MYMEMOR…	Revolution (Molting)	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
50	nombre	pair	0%	0%	divergent	Divergente	DER TIEGEL	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 20 HOURS 14 MINUTES 40 SECONDS VISIT HTTPS://MYMEMOR…	The Caldron	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
51	nombre	pair	0%	0%	divergent	Divergente	DAS ERREGENDE	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 20 HOURS 14 MINUTES 28 SECONDS VISIT HTTPS://MYMEMOR…	The Arousing (Shock, Thunder)	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
52	nombre	pair	0%	0%	divergent	Divergente	DAS STILLEHALTEN, DER BERG	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 20 HOURS 14 MINUTES 20 SECONDS VISIT HTTPS://MYMEMOR…	Keeping Still, Mountain	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
53	nombre	pair	0%	0%	divergent	Divergente	DIE ENTWICKLUNG	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 20 HOURS 14 MINUTES 10 SECONDS VISIT HTTPS://MYMEMOR…	Development (Gradual Progress)	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
54	nombre	pair	0%	0%	divergent	Divergente	DAS HEIRATENDE MÄDCHEN	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 03 HOURS 29 MINUTES 50 SECONDS VISIT HTTPS://MYMEMOR…	The Marrying Maiden	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
55	nombre	pair	0%	0%	divergent	Divergente	DIE FÜLLE	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 20 HOURS 13 MINUTES 48 SECONDS VISIT HTTPS://MYMEMOR…	Abundance [Fullness]	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
56	nombre	pair	0%	0%	divergent	Divergente	DER WANDERER	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 20 HOURS 13 MINUTES 40 SECONDS VISIT HTTPS://MYMEMOR…	The Wanderer	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
57	nombre	pair	0%	0%	divergent	Divergente	DAS SANFTE	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 03 HOURS 29 MINUTES 50 SECONDS VISIT HTTPS://MYMEMOR…	The Gentle (Penetrating, Wind)	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
58	nombre	pair	0%	0%	divergent	Divergente	DAS HEITERE, DER SEE	MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN 20 HOURS 13 MINUTES 22 SECONDS VISIT HTTPS://MYMEMOR…	The Joyous, Lake	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
