campo,contenido_txt
hex_fin,
hex,9
image,"(The trigram representing) the sky, and that representing wind moving above it, form Hsiâo Khû The superior man, in accordance with this, adorns the outward manifestation of his virtue."
L1,‘He returns and pursues his own path:'—it is right that there should be good fortune.
L2,"‘By the attraction (of the subject of the former line) he returns (to its own course),' and is in the central place:—neither will he err in what is due from him."
L3,‘Husband and wife look on each other with averted eyes:'—(the subject of line three is like a husband who) cannot maintain correctly his relations with his wife.
L4,‘He is possessed of sincerity; his (ground for) apprehension is dismissed:'—(the subjects of the lines) above agree in aim with him.
L5,"‘He is possessed of sincerity, and draws others to unite with him:'—he does not use only his own rich resources."
L6,"‘The rain has fallen and (the onward progress) is stayed:'—the power (denoted in the figure) has accumulated to the full. ‘If the superior man prosecute his measures, there will be evil:'—he will find himself obstructed."
hex_fin,
hex,10
image,"(The trigram representing) the sky above, and below it (that representing the waters of) a marsh, form Lî. The superior man, in accordance with this, discriminates between high and low, and gives settlement to the aims of the people."
L1,‘He treads his accustomed path and goes forward:'—singly and exclusively he carries out his (long-cherished) wishes.
L2,"‘A quiet and solitary man, to whom, being firm and correct, there will be good fortune:'—holding the due mean, he will not allow himself to be thrown into disorder."
L3,‘A one-eyed man (who thinks that he) can see:'—he is not fit to see clearly. ‘A lame man (who thinks that he can) tread well:'—one cannot walk along with him. ‘The ill fortune of being bitten' arises from the place not being the proper one for him. ‘A (mere) bravo acting the part of a great ruler:'—this is owing to his aims being (too) violent.
L4,"‘He becomes full of apprehensive caution, and in the end there will be good fortune:'—his aim takes effect."
L5,"‘He treads resolutely; and though he be firm and correct, there is peril:'—this is due to his being in the position that is correct and appropriate to him."
L6,"‘There will be great good fortune,' and that in the occupancy of the topmost line:—this is great matter for congratulation."
hex_fin,
hex,11
image,"(The trigrams for) heaven and earth in communication together form Thâi. The (sage) sovereign, in harmony with this, fashions and completes (his regulations) after the courses of heaven and earth, and assists the application of the adaptations furnished by them,—in order to benefit the people."
L1,"‘The good fortune of advance, (as suggested by the emblem of) the grass pulled up,' arises from the will (of the party intended) being set on what is external to himself."
L2,"‘He bears with the uncultivated, and proves himself acting in accordance with the due mean:'—for (his intelligence is) bright and (his capacity is) great."
L3,‘There is no going away so that there shall not be a return' refers to this as the point where the interaction of heaven and earth takes place.
L4,"‘He comes fluttering (down), not relying on his own rich resources:'—both he and his neighbours are out of their real (place where they are). ‘They have not received warning, but (come) in the sincerity (of their hearts):'—this is what they have desired in the core of their hearts."
L5,"‘By such a course there is happiness, and there will be great good fortune:'—(the subject of the line) employs the virtue proper to his central position to carry his wishes into effect."
L6,‘The city wall returned back into the moat' shows how the (governmental) orders have (long) been in disorder.
hex_fin,
hex,12
image,"(The trigrams of) heaven and earth, not in intercommunication, form Phî. The superior man, in accordance with this, restrains (the manifestation) of) his virtue, and avoids the calamities (that threaten him). There is no opportunity of conferring on him the glory of emolument."
L1,"‘The good fortune through firm goodness, (suggested by) the pulling up of the grass,' arises from the will (of the parties intended) being bent on (serving) the ruler."
L2,"‘The great man, comporting himself as the distress and obstruction require, will have success:—‘he does not allow himself to be disordered by the herd (of small men)."
L3,That ‘his shame is folded in his breast' is owing to the inappropriateness of his position.
L4,"‘He acts in accordance with the ordination (of Heaven), and commits no error:'—the purpose of his mind can be carried into effect."
L5,The good fortune of the great man' arises from the correctness of his position.
L6,"‘The distress and obstruction having reached its end, it is overthrown and removed:'—how could it be prolonged?"
hex_fin,
hex,13
image,"(The trigrams for) heaven and fire form Thung Zăn. The superior man, in accordance with this), distinguishes things according to their kinds and classes."
L1,‘(The representative of) the union of men is just issuing from his gate:'—who will blame him?
L2,‘(The representative of) the union of men appears in relation with his kindred:'—that is the path to regret.
L3,‘He hides his arms in the thick grass:'—because of the strength of his opponent. ‘For three years he makes no demonstration:'—how can he do anything?
L4,"‘He is mounted on his city-wall;' but yielding to the right, ‘he does not proceed to make the attack (he contemplated).' (Where it is said),‘There will be good fortune,' (that shows how) he feels the strait he is in, and returns to the rule of law."
L5,The first action of (the representative of) the union of men (here described) arises from his central position and straightforward character. ‘The meeting secured by his great host' intimates that the opponents of it have been overcome.
L6,‘(The representative of) the union of men appears in the suburbs:'—his object has not yet been attained.
hex_fin,
hex,14
image,"(The trigram for) heaven and (that of) fire above it form Tâ Yû The superior man, in accordance with this, represses what is evil and gives distinction to what is good, in sympathy with the excellent Heaven-conferred (nature)."
L1,"This first line, (undivided),of Tâ Yû shows no approach to what is injurious."
L2,"‘A large waggon with its load' refers to the (virtue) accumulated (in the subject of the line), so that he will suffer no loss (in the conduct of affairs)."
L3,‘A feudal prince presents his offerings to the son of Heaven:'—a small man (in such a position) does (himself) harm.
L4,‘He keeps his great resources under restraint:'—his wisdom discriminates clearly (what he ought to do).
L5,"‘His sincerity is reciprocated by all the others:'—his sincerity serves to stir and call out what is in their minds. ‘The good fortune springing from a display of proper majesty' shows how they might (otherwise) feel too easy, and make no preparation (to serve him)."
L6,‘The good fortune attached to the topmost line of Tâ Yû' arises from the help of Heaven.
hex_fin,
hex,15
image,"(The trigram for) the earth and (that of) a mountain in the midst of it form Khien. The superior man, in accordance with this, diminishes what is excessive (in himself), and increases where there is any defect, bringing about an equality, according to the nature of the case, in his treatment (of himself and others)."
L1,‘The superior man who adds humility to humility' is one who nourishes his (virtue) in lowliness.
L2,"‘The good fortune consequent on being firm and correct, where the humility has made itself recognised, is owing to the possessor's having (the virtue) in the core of his heart."
L3,"‘The superior man of (acknowledged) merit, and yet humble:'—the myriads of the people will submit to him."
L4,"‘One, whose action would be in every way advantageous, stirs up his humility the more:'(but in doing so) he does not act contrary to the (proper) rule."
L5,"‘He may advantageously use the force of arms:'—correcting, that is, those who do not submit."
L6,"‘His humility has made itself recognised:'—(but) all his aims have not yet been attained. He may employ the force of arms, (but only) in correcting (his own) towns and state.'"
hex_fin,
hex,16
image,"(The trigrams for) the earth and thunder issuing from it with its crashing noise form Yü. The ancient kings, in accordance with this, composed their music and did honour to virtue, presenting it especially and most grandly to God, when they associated with Him (at the service) their highest ancestor and their father."
L1,‘The (subject of the) first six proclaims his pleasure and satisfaction:'—there will be evil; his wishes have been satisfied to overflowing.
L2,‘(He sees a thing) without waiting till it has come to pass; with his firm correctness there will be good fortune:'—this is shown by the central and correct position (of the line).
L3,"‘He looks up (for favours), while he indulges the feeling of satisfaction; there will be occasion for repentance:'—this is intimated by the position not being the appropriate one."
L4,‘From him the harmony and satisfaction come; great is the success which he obtains:'—his aims take effect on a grand scale.
L5,"‘(The subject of) the fifth six has a chronic complaint:'—this is shown by his being mounted on the strong (line). ‘He still lives on without dying:'—he is in the central position, (and its memories of the past) have not yet perished."
L6,"‘With darkened mind devoted to the harmony and satisfaction (of the time),' as shown in the topmost (line):—how can one in such a condition continue long?"
hex_fin,
hex,17
image,"(The trigram for the waters of) a marsh and (that for) thunder (hidden) in the midst of it form Sui. The superior man in accordance with this, when it is getting towards dark, enters (his house) and rests."
L1,"‘He is changing the object of his pursuit:'—but if he follow what is correct, there will be good fortune. ‘He goes beyond (his own) gate to find associates:'—he will not fail (in the method he pursues)."
L2,‘He cleaves to the little boy:'—he cannot be with the two at the same time.
L3,"‘He cleaves to the man of age and experience:'—by the decision of his will, he abandons (the youth) below."
L4,"‘He is followed and obtains adherents:'—according to the idea (of the hexagram), this is evil. ‘He is sincere in his course:'—showing his intelligence, and leading to achievement."
L5,‘He is sincere in fostering what is excellent:'—his position is correct and in the centre.
L6,"‘The sincerity is firmly held and clung to, as shown in the topmost line:'—(the idea of the hexagram) has reached its extreme development."
hex_fin,
hex,18
image,"(The trigram for) a mountain, and below it that for wind, form Kû. The superior man, in accordance with this, (addresses himself to) help the people and nourish his own virtue."
L1,‘He deals with the troubles caused by his father:'—he feels that he has entered into the work of his father.
L2,‘He deals with the troubles caused by his mother:'—he holds to the course of the due mean.
L3,‘He deals with the troubles caused by his father:'—in the end there will be no error.
L4,"‘He views indulgently the troubles caused by his father:'—if he go forward, he will not succeed."
L5,"‘He deals with the troubles caused by his father, and obtains praise:'—he is responded to (by the subject of line two) with all his virtue."
L6,‘He does not serve either king or feudal lord:'—but his aim may be a model (to others).
hex_fin,
hex,19
image,"(The trigram for) the waters of a marsh and that for the earth above it form Lin. The superior man, in accordance with this, has his purposes of instruction that are inexhaustible, and nourishes and supports the people without limit."
L1,‘The good fortune through the firm correctness of (the subject of the first line) advancing in company (with the subject of the second)' is due to his will being set on doing what is right.
L2,"‘The good fortune and every possible advantage attending the advance (of the subject of the second line), in company (with the subject of the first),' arises from the fact that those (to whom the advance is made) are not yet obedient to the ordinances (of Heaven)."
L3,"‘He (shows himself) well pleased to advance:'—his position is not that appropriate to him. ‘If he become anxious, however, about his action,' his error will not be continued."
L4,‘The freedom from error consequent on the
L5,‘What befits the great ruler' means the pursuing the course of the due mean.
L6,‘The good fortune consequent on the advance of honesty and generosity' is due to the will (of the subject of the line) being set on the subjects of (the first two lines of) the inner (trigram).
hex_fin,
hex,20
image,"(The trigram representing) the earth, and that for wind moving above it, form Kwan. The ancient kings, in accordance with this, examined the (different) regions (of the kingdom), to see the (ways of the) people, and set forth their instructions."
L1,"‘The looking of a lad shown by the first six, (divided); indicates the way of the inferior people."
L2,"‘The firm correctness of a woman, in peeping out from a door' is also a thing to be ashamed of (in a superior man)."
L3,"‘He looks at (the course of his own life, to advance or recede (accordingly):'—he will not err in the path (to be pursued)."
L4,‘He contemplates the glory of the kingdom:'(thence) arises the wish to be a guest (at court).
L5,‘He contemplates his own life(-course):'—he should (for this purpose) contemplate (the condition of) the people.
L6,‘He contemplates his own character:'—he cannot even yet let his mind be at rest.
hex_fin,
hex,21
image,"(The trigrams representing) thunder and lightning form Shih Ho. The ancient kings, in accordance with this, framed their penalties with intelligence, and promulgated their laws."
L1,"‘His feet are in the stocks, and he is deprived of his toes:'—there is no walking (to do evil)."
L2,"‘He bites through the soft flesh, and (goes on) to bite off the nose:'—(the subject of the line) is mounted on the strong (first line)."
L3,‘He meets with what is disagreeable and hurtful:'—his position is not the proper one for him.
L4,"‘It will be advantageous to him to realise the difficulty of his task and be firm, in which case there will be good fortune:'—his light has not yet been sufficiently displayed."
L5,"‘Let him be firm and correct, realising the peril (of his position), and there will be no error:'—he will possess every quality appropriate (to his position and task)."
L6,"‘He wears the cangue and is deprived of his ears:'—he hears, but will not understand."
hex_fin,
hex,22
image,"(The trigram representing) a mountain and that for fire under it form Pî. The superior man, in accordance with this, throws a brilliancy around his various processes of government, but does not dare (in a similar way) to decide cases of criminal litigation."
L1,‘He can discard a carriage and walk on foot:'—righteousness requires that he should not ride.
L2,‘He adorns his beard:'—he rouses himself to action (only) along with the (subject of the) line above.
L3,"‘The good fortune consequent on his ever maintaining firm correctness' is due to this,—that to the end no one will insult him."
L4,"‘The place occupied by the fourth six, (divided),' affords ground for doubt (as to its subject); but ‘(as the subject of the third pursues) not as a robber, but as intent on a matrimonial alliance,' he will in the end have no grudge against him."
L5,"‘The good fortune falling to the fifth six, (divided); affords occasion for joy."
L6,"‘The freedom from error attached to (the subject of) the topmost line, with no ornament but the (simple white),' shows how he has attained his aim."
hex_fin,
hex,23
image,"(The trigrams representing) the earth, and (above it) that for a mountain, which adheres to the earth, form Po. Superiors, in accordance with this, seek to strengthen those below them, to secure the peace and stability of their own position."
L1,‘He overthrows the couch by injuring its legs:'—thus (he commences) his work of ruin with what is lowest (in the superior man).
L2,‘He destroys the couch by injuring its frame:'—(the superior man) has as yet no associates.
L3,That ‘there will be no error on the part of this one among the overthrowers' arises from the difference between him and the others above and below.
L4,"‘He has overthrown the couch, and (proceeds to injure) the skin (of him who lies on it):'—calamity is very near at hand."
L5,‘He obtains for them the favour that lights on the inmates of the palace:'—in the end there will be no grudge against him.
L6,‘The superior man finds himself in a carriage:'—he is carried along by the people. ‘The small men (by their course) overthrow their own dwellings:'—they can. never again be of use to them.
hex_fin,
hex,24
image,"(The trigram representing) the earth and that for thunder in the midst of it form Fû. The ancient kings, in accordance with this, on the day. of the (winter) solstice, shut the gates of the passes (from one state to another), so that the travelling merchants could not (then) pursue their journeys, nor the princes go on with the inspection of their states."
L1,‘Returning (from an error) of no great extent' is the prelude to the cultivation of the person.
L2,‘The good fortune attendant on the admirable return (of the subject of the second line)' is due to his condescension to the virtuous (subject of the line) below.
L3,"Notwithstanding ‘the perilous position of him who has made many returns,' there will be no error through (his aiming after righteousness)."
L4,"‘He moves right in the centre (among those represented by the other divided lines), and yet returns alone:'—his object is to pursue the (proper) path."
L5,"‘The noble return, giving no ground for repentance,' is due to (the subject of the line) striving to perfect himself in accordance with his central position."
L6,‘The evil consequent on being all astray on the subject of returning' is because the course pursued is contrary to the proper course for a ruler.
hex_fin,
hex,25
image,"The thunder rolls all under the sky, and to (every)thing there is given (its nature), free from all insincerity. The ancient kings, in accordance with this, (made their regulations) in complete accordance with the seasons, thereby nourishing all things."
L1,"When ‘he who is free from insincerity makes any movement,' he will get what he desires."
L2,‘He reaps without having ploughed:'—(the thought of) riches to be got had not risen (in his mind).
L3,‘The passer-by gets the ox:'—this proves a calamity to the people of the neighbourhood.
L4,‘If he can remain firm and correct there will be no error:'—he firmly holds fast (his correctness).
L5,‘Medicine in the case of one who is free from insincerity!‘—it should not be tried (at all).
L6,‘The action (in this case) of one who is free from insincerity' will occasion the calamity arising from action (when the time for it is) exhausted.
hex_fin,
hex,26
image,"(The trigram representing) a mountain, and in the midst of it that (representing) heaven, form Tâ Khû. The superior man, in accordance with this, stores largely in his memory the words and deeds of former men, to subserve the accumulation of his virtue."
L1,‘He is in a position of peril; it will be advantageous for him to stop his advance:'—he should not rashly expose himself to calamity.
L2,"‘(He is as) a carriage from which the strap under it has been removed:'—being in the central position, he will incur no blame."
L3,‘There will be advantage in whatever direction he may advance:'—(the subject of) the topmost line is of the same mind with him.
L4,"‘The great good fortune indicated by the fourth six, (divided),' shows that there is occasion for joy."
L5,"‘The good fortune indicated by the fifth six, (divided),' shows that there is occasion for congratulation."
L6,‘In command of the firmament of heaven:'—the way is grandly open for movement.
hex_fin,
hex,27
image,"(The trigram representing) a mountain and under it that for thunder form Î. The superior man, in accordance with this, (enjoins) watchfulness over our words, and the temperate regulation of our eating and drinking."
L1,‘You look at me till your (lower) jaw hangs down:'—(the subject of the line) is thus shown unfit to be thought noble.
L2,"‘The evil of advance by the subject of the second line, (divided),' is owing to his leaving in his movements his proper associates."
L3,‘For ten years let him not take any action:'—his course is greatly opposed (to what is right).
L4,"‘The good fortune attached to looking downwards for (the power to) nourish,' shows how brilliant will be the diffusion (of that power) from (the subject of the line's) superior position."
L5,‘The good fortune from abiding in firmness' is due to the docility (of the subject of the line) in following (the subject of the line) above.
L6,"‘The good fortune, notwithstanding the peril of his position, of him from whom comes the nourishing,' affords great cause for congratulation."
hex_fin,
hex,28
image,"(The trigram representing) trees hidden beneath that for the waters of a marsh forms Tâ Kwo. The superior man, in accordance with this, stands up alone and has no fear, and keeps retired from the world without regret."
L1,"‘He places mats of the white mâo grass under things set on the ground:'—he feels his weakness and his being in the lowest place, (and uses extraordinary care)."
L2,‘An old husband and a young wife:'—such association is extraordinary.
L3,"‘The evil connected with the beam that is weak' arises from this, that no help can be given (to the condition thus represented)."
L4,"‘The good fortune connected with the beam curving upwards' arises from this, that it does not bend towards what is below."
L5,‘A decayed willow produces flowers:'—but how can this secure its long continuance? ‘An old wife and a young husband:'—this also is a thing to be ashamed of.
L6,‘Evil follows wading with (extraordinary) boldness (through the stream):'—but (the act) affords no ground for blame.
hex_fin,
hex,29
image,"(The representation of) water flowing on continuously forms the repeated Khan. The superior man, in accordance with this, maintains constantly the virtue (of his heart) and (the integrity of) his conduct, and practises the business of instruction."
L1,"‘In the double defile, he enters a cavern within it:'—he has missed his (proper) way, and there will be evil."
L2,‘He will get a little (of the deliverance) that he seeks:'—he will not yet escape from his environed position.
L3,"‘Whether he comes or goes, he is confronted by a defile:'—he will never (in such circumstances) achieve any success."
L4,‘(Nothing but) a bottle of spirits and a subsidiary basket of rice:'—(these describe) the meeting at this point of (those who are represented by) the strong and weak lines.
L5,‘The water in the defile is not full (so as to flow away):'—(the virtue indicated by) the central situation is not yet (sufficiently) great.
L6,"‘The sixth line, divided, shows its subject missing his (proper) course:'—‘there will be evil for three years.'"
hex_fin,
hex,30
image,"(The trigram for) brightness, repeated, forms Lî. The great man, in accordance with this, cultivates more and more his brilliant (virtue), and diffuses its brightness over the four quarters (of the land)."
L1,‘The reverent attention directed to his confused steps' is the way by which error is avoided.
L2,‘The great good fortune (from the subject of the second line) occupying his place in yellow' is owing to his holding the course of the due mean.
L3,‘A position like that of the declining sun:'—how can it continue long?
L4,‘How abrupt is the manner of his coming!‘—none can bear with him.
L5,"‘The good fortune attached to the fifth line, divided,' is due to its occupying the place of a king or a prince."
L6,‘The king employs him in his punitive expeditions:'—the object is to bring the regions to a correct state.
hex_fin,
hex,31
image,"(The trigram representing) a mountain and above it that for (the waters of) a marsh form Hsien. The superior man, in accordance with this, keeps his mind free from pre-occupation, and open to receive (the influences of) others."
L1,‘He moves his great toe:'—his mind is set on what is beyond (himself).
L2,"Though ‘there would be evil; yet, if he abide (quiet) in his place, there will be good fortune:'—through compliance (with the circumstances of his condition and place) there will be no injury."
L3,‘He moves his thighs:'—he still does not (want to) rest in his place. His will is set on ‘following others:'—what he holds in his grasp is low.
L4,"‘Firm correctness will lead to good fortune, and prevent all occasion for repentance:'—there has not yet been any harm from (a selfish wish to) influence. ‘He is unsettled in his movements:'(his power to influence) is not yet either brilliant or great."
L5,‘He (tries to) move the flesh along the spine above the heart:'—his aim is trivial.
L6,‘He moves his jaws and tongue:'—he (only) talks with loquacious mouth.
hex_fin,
hex,32
image,"(The trigram representing) thunder and that for wind form Hăng. The superior man, in accordance with this, stands firm, and does not change his method (of operation)."
L1,‘The evil attached to the deep desire for long continuance (in the subject of the first line)' arises from the deep seeking for it at the commencement (of things).
L2,"‘All occasion for repentance on the part of the subject of the second line, (undivided,), disappears:'—he can abide long in the due mean."
L3,‘He does not continuously maintain his virtue:'—nowhere will he be borne with.
L4,"(Going) for long to what is not his proper place, how can he get game?"
L5,"'such firm correctness in a wife will be fortunate:'—it is hers to the end of life to follow with an unchanged mind. The husband must decide what is right, and lay down the rule accordingly:—for him to follow (like) a wife is evil."
L6,‘The subject of the topmost line is exciting himself to long continuance:'—far will he be from achieving merit.
hex_fin,
hex,33
image,"(The trigram representing) the sky and below it that for a mountain form Thun. The superior man, in accordance with this, keeps small men at a distance, not by showing that he hates them, but by his own. dignified gravity."
L1,"There is ‘the perilousness of the position shown by the retiring tail:'—but if ‘no movement' be made, what disaster can there be?"
L2,‘He holds it as; by (a thong from the hide of) a yellow ox:'—his purpose is firm.
L3,"‘The peril connected with the case of one retiring, though bound,' is due to the (consequent) distress and exhaustion. ‘If he were (to deal as in) nourishing a servant or concubine, it would be fortunate for him:'—but a great affair cannot be dealt with in this way."
L4,‘A superior man retires notwithstanding his likings; a small man cannot attain to this.'
L5,"‘He retires in an admirable way, and with firm correctness there will be good fortune:'—this is due to the rectitude of his purpose."
L6,"‘He retires in a noble way, and his doing so will be advantageous in every respect:'—he who does so has no doubts about his course."
hex_fin,
hex,34
image,"(The trigram representing) heaven and above it that for thunder form Tâ Kwang. The superior man, in accordance with this, does not take a step which is not according to propriety."
L1,‘He manifests his vigour in his toes:'—this will certainly lead to exhaustion.
L2,"‘The second line, (undivided), shows that with firm correctness there will be good fortune:'—this is due to its being in the centre, (and its subject exemplifying the due mean)."
L3,‘The small man uses all his strength; in the case of the superior man it is his rule not to do so.'
L4,‘The fence is opened and the horns are not entangled:'—(the subject of the line) still advances.
L5,‘He loses his ram and hardly perceives it:'—he is not in his appropriate place.
L6,"‘He is unable either to retreat or to advance:'—this is owing to his want of care. ‘If he realise the difficulty (of his position), there will be good fortune:'—his error will not be prolonged."
hex_fin,
hex,35
image,"(The trigram representing) the earth and that for the bright (sun) coming forth above it form Žin. The superior man, according to this, gives himself to make more brilliant his bright virtue."
L1,"‘He appears wishing to advance, but (at the same time) being kept back:'—all-alone he pursues the correct course. ‘Let him maintain a large and generous mind, and there will be no error:'—he has not yet received an official charge."
L2,‘He will receive this great blessing:'—for he is in the central place and the correct position for him.
L3,‘All (around) trust him:'—their (common) aim is to move upwards and act.
L4,"‘(He advances like) a marmot. However firm and correct he may be, his position is one of peril:'—his place is not that appropriate for him."
L5,‘Let him not concern himself whether he fails or succeeds:'—his movement in advance will afford ground for congratulation.
L6,‘He uses his horns only to punish (the rebellious people of) his city:'—his course of procedure is not yet brilliant.
hex_fin,
hex,36
image,"(The trigram representing) the earth and that for the bright (sun) entering within it form Ming Î. The superior man, in accordance with this, conducts his management of men;—he shows his intelligence by keeping it obscured."
L1,‘The superior man (is revolving his) going away:'—(in such a case) he feels it right not to eat.
L2,"‘The good fortune of (the subject of) the second line, divided,' is due to the proper fashion of his acting according to his circumstances."
L3,With the aim represented by ‘hunting in the south' a great achievement is accomplished.
L4,‘He has (just) entered into the left side of the belly (of the dark land):'—he is still able to carry out the idea in his (inner) mind.
