campo	contenido_reconciliado	contenido_pass03	jpg_paginas	contenido_pdf	au_estado	resolucion_disputa
image_oraculo	Der Zustand der Erde ist die empfangende Hingebung.\nSo trägt der Edle weiträumigen Wesens die Außenwelt.	Der Zustand der Erde ist die empfangende Hingebung.\nSo trägt der Edle weiträumigen Wesens die Außenwelt.	28-31	Der Zustand der Erde ist die empfangende Hingebung.\nSo trägt der Edle weiträumigen Wesens die Außenwelt.	pendiente	coincide_zeno
image_comentario	Ebenso wie es nur einen Himmel gibt, gibt es auch nur eine Erde. Während aber beim Himmel die Verdoppelung des Zeichens zeitliche Dauer bedeutet, bedeutet sie bei der Erde die räumliche Ausdehnung und Festigkeit, mit der sie alles, was da lebt und webt, trägt und erhält. Die Erde in ihrer Hingebung trägt ohne Ausnahme Gut und Böse. So macht der Edle seinen Charakter weiträumig, gediegen und tragfähig, so daß er Menschen und Dinge zu tragen und ertragen vermag.	Ebenso wie es nur einen Himmel gibt, gibt es auch nur eine Erde. Während\naber beim Himmel die Verdoppelung des Zeichens zeitliche Dauer bedeutet,\nbedeutet sie bei der Erde die räumliche Ausdehnung und Festigkeit, mit der\nsie alles, was da lebt und webt, trägt und erhält. Die Erde in ihrer Hin-\ngebung trägt ohne Ausnahme Gut und Böse. So macht der Edle seinen\nCharakter weiträumig, gediegen und tragfähig, so daß er Menschen und\nDinge zu tragen und ertragen vermag.	28-31	Ebenso wie es nur einen Himmel gibt, gibt es auch nur eine Erde. Während\naber beim Himmel die Verdoppelung des Zeichens zeitliche Dauer bedeutet,\nbedeutet sie bei der Erde die räumliche Ausdehnung und Festigkeit, mit der\nsie alles, was da lebt und webt, trägt und erhält. Die Erde in ihrer Hin-\ngebung trägt ohne Ausnahme Gut und Böse. So macht der Edle seinen\nCharakter weiträumig, gediegen und tragfähig, so daß er Menschen und\nDinge zu tragen und ertragen vermag.	pendiente	diff_zeno
L1_etiqueta	Anfangs eine Sechs bedeutet:	Anfangs eine Sechs bedeutet:	28-31	Anfangs eine Sechs bedeutet:	pendiente	coincide_zeno
L1_oraculo	Tritt man auf Reif, so naht das feste Eis.	Tritt man auf Reif, so naht das feste Eis.	28-31	Tritt man auf Reif, so naht das feste Eis.	pendiente	coincide_zeno
L1_comentario	Wie die lichte Kraft das Leben darstellt, so die schattige Kraft den Tod. Im Herbst, wenn der Frühreif fällt, ist die Kraft des Dunkels und der Kälte erst in der Entfaltung. Nach den ersten Spuren werden sich nach festen Gesetzen die Äußerungen des Todes allmählich mehren, bis schließlich der starre Winter mit seinem Eis da ist.\n\nGenau so geht es im Leben. Wenn sich gewisse, kaum merkliche Zeichen des Verfalls zeigen, so geht es weiter, bis schließlich der Untergang da ist. Aber im Leben kann man vorbeugen, wenn man die Anzeichen des Verfalls beachtet und ihnen rechtzeitig entgegentritt.	Wie die lichte Kraft das Leben darstellt, so die schattige Kraft den Tod.\nIm Herbst, wenn der Frühreif fällt, ist die Kraft des Dunkels und der Kälte\nerst in der Entfaltung. Nach den ersten Spuren werden sich nach festen\nGesetzen die Außerungen des Todes allmählich mehren, bis schließlich der\nstarre Winter mit seinem Eis da ist.\nGenau so geht es im Leben. Wenn sich gewisse, kaum merkliche Zeichen\ndes Verfalls zeigen, so geht es weiter, bis schließlich der Untergang da ist.\nAber im Leben kann man vorbeugen, wenn man die Anzeichen des Verfalls\nbeachtet und ihnen rechtzeitig entgegentritt.	28-31	Wie die lichte Kraft das Leben darstellt, so die schattige Kraft den Tod.\nIm Herbst, wenn der Frühreif fällt, ist die Kraft des Dunkels und der Kälte\nerst in der Entfaltung. Nach den ersten Spuren werden sich nach festen\nGesetzen die Außerungen des Todes allmählich mehren, bis schließlich der\nstarre Winter mit seinem Eis da ist.\nGenau so geht es im Leben. Wenn sich gewisse, kaum merkliche Zeichen\ndes Verfalls zeigen, so geht es weiter, bis schließlich der Untergang da ist.\nAber im Leben kann man vorbeugen, wenn man die Anzeichen des Verfalls\nbeachtet und ihnen rechtzeitig entgegentritt.	pendiente	diff_zeno
L2_etiqueta	Sechs auf zweitem Platz bedeutet:	O Sechs auf zweitem Platz bedeutet:	28-31	O Sechs auf zweitem Platz bedeutet:	pendiente	diff_zeno
L2_oraculo	Gerade, rechtwinklig, groß.\nOhne Absicht bleibt doch nichts ungefördert.	Gerade, rechtwinklig, groß.\nOhne Absicht bleibt doch nichts ungefördert.	28-31	Gerade, rechtwinklig, groß.\nOhne Absicht bleibt doch nichts ungefördert.	pendiente	coincide_zeno
L2_comentario	Der Himmel hat als Symbol den Kreis, die Erde das rechtwinklige Quadrat. Somit ist das Rechtwinklige eine ursprüngliche Eigenschaft der Erde. Dagegen ist die geradlinige Bewegung ursprünglich eine Eigenschaft des Schöpferischen, ebenso wie die Größe. Aber alle rechtwinkligen Dinge haben ihre Wurzel in der geraden Linie und bilden ihrerseits wieder körperliche Größen. Wenn man in der Mathematik Linien, Flächen und Körper un terscheidet, so ergeben sich aus geraden Linien rechtwinklige Flächen und aus rechtwinkligen Flächen kubische Größen. Das Empfangende richtet sich nach den Eigenschaften des Schöpferischen und macht sie zu seinen eigenen. So wird aus einer Geraden ein Quadrat und aus einem Quadrat ein Würfel. Das ist die einfache Hingebung an die Gesetze des Schöpferischen, ohne etwas davon- oder dazuzutun. Darum bedarf es für das Empfangende nicht einer besonderen Absicht oder Anstrengung, und alles wird recht.\n\nDie Natur erzeugt die Wesen ohne Falsch, das ist ihre Geradheit;  sie ist ruhig und still, das ist ihre Rechtwinkligkeit; sie weigert sich nicht, irgendein Wesen zu dulden, das ist ihre Größe. Darum erreicht sie ohne äußeres Machen oder besondere Absichten für alle das Rechte. Für den Menschen bedeutet es höchste Weisheit, in seinem Wirken so selbstverständlich zu werden wie die Natur.	Der Himmel hat als Symbol den Kreis, die Erde das rechtwinklige Quadrat.\nSomit ist das Rechtwinklige eine ursprüngliche Eigenschaft der Erde. Da-\ngegen ist die geradlinige Bewegung ursprünglich eine Eigenschaft des\nSchöpferischen, ebenso wie die Größe. Aber alle rechtwinkligen Dinge haben\nihre Wurzel in der geraden Linie und bilden ihrerseits wieder körperliche\nGrößen. Wenn man in der Mathematik Linien, Flächen und Körper unter-\nscheidet, so ergeben sich aus geraden Linien rechtwinklige Flächen und aus\nrechtwinkligen Flächen kubische Größen. Das Empfangende richtet sich nach\nden Eigenschaften des Schöpferischen und macht sie zu seinen eigenen. So\nwird aus einer Geraden ein Quadrat und aus einem Quadrat ein Würfel.\nDas ist die einfache Hingebung an die Gesetze des Schöpferischen, ohne\netwas davon- oder dazuzutun. Darum bedarf es für das Empfangende\nnicht einer besonderen Absicht oder Anstrengung, und alles wird recht.\nDie Natur erzeugt die Wesen ohne Falsch, das ist ihre Geradheit; sie ist\nruhig und still, das ist ihre Rechtwinkligkeit; sie weigert sich nicht, irgend-\nein Wesen zu dulden, das ist ihre Größe. Darum erreicht sie ohne äußeres\nMachen oder besondere Absichten für alle das Rechte. Für den Menschen\nbedeutet es höchste Weisheit, in seinem Wirken so selbstverständlich zu\nwerden wie die Natur.	28-31	Der Himmel hat als Symbol den Kreis, die Erde das rechtwinklige Quadrat.\nSomit ist das Rechtwinklige eine ursprüngliche Eigenschaft der Erde. Da-\ngegen ist die geradlinige Bewegung ursprünglich eine Eigenschaft des\nSchöpferischen, ebenso wie die Größe. Aber alle rechtwinkligen Dinge haben\nihre Wurzel in der geraden Linie und bilden ihrerseits wieder körperliche\nGrößen. Wenn man in der Mathematik Linien, Flächen und Körper unter-\nscheidet, so ergeben sich aus geraden Linien rechtwinklige Flächen und aus\nrechtwinkligen Flächen kubische Größen. Das Empfangende richtet sich nach\nden Eigenschaften des Schöpferischen und macht sie zu seinen eigenen. So\nwird aus einer Geraden ein Quadrat und aus einem Quadrat ein Würfel.\nDas ist die einfache Hingebung an die Gesetze des Schöpferischen, ohne\netwas davon- oder dazuzutun. Darum bedarf es für das Empfangende\nnicht einer besonderen Absicht oder Anstrengung, und alles wird recht.\nDie Natur erzeugt die Wesen ohne Falsch, das ist ihre Geradheit; sie ist\nruhig und still, das ist ihre Rechtwinkligkeit; sie weigert sich nicht, irgend-\nein Wesen zu dulden, das ist ihre Größe. Darum erreicht sie ohne äußeres\nMachen oder besondere Absichten für alle das Rechte. Für den Menschen\nbedeutet es höchste Weisheit, in seinem Wirken so selbstverständlich zu\nwerden wie die Natur.	pendiente	diff_zeno
L3_etiqueta	Sechs auf drittem Platz bedeutet:	Sechs auf drittem Platz bedeutet:	28-31	Sechs auf drittem Platz bedeutet:	pendiente	coincide_zeno
L3_oraculo	Verborgene Linien; man vermag beharrlich zu bleiben.\nFolgst du etwa eines Königs Diensten,\nso suche nicht Werke, aber vollende!	Verborgene Linien; man vermag beharrlich zu bleiben.\nFolgst du etwa eines Königs Diensten,\nSo suche nicht Werke, aber vollende!	28-31	Verborgene Linien; man vermag beharrlich zu bleiben.\nFolgst du etwa eines Königs Diensten,\nSo suche nicht Werke, aber vollende!	pendiente	diff_zeno
L3_comentario	Wenn man frei von Eitelkeit ist, so vermag man seine Vorzüge so zu verdecken, daß sie nicht vorzeitig die öffentliche Aufmerksamkeit auf sich ziehen. So kann man in der Stille reifen. Wenn es die Verhältnisse erfordern, so mag man auch in die Öffentlichkeit hervortreten, aber auch dann zurückhaltend. Der Weise wird den Ruhm gern andern lassen. Er sucht nicht fertige Tatsachen, die ihm als Verdienste angerechnet werden, wohl aber erhofft er wirkende Ursachen, d.h. er vollendet die Werke so, daß sie für die Zukunft fruchtbringend sind.	Wenn man frei von Eitelkeit ist, so vermag man seine Vorzüge so zu ver-\ndecken, daß sie nicht vorzeitig die öffentliche Aufmerksamkeit auf sich ziehen.\nSo kann man in der Stille reifen. Wenn es die Verhältnisse erfordern, so\nmag man auch in die Öffentlichkeit hervortreten, aber auch dann zurück-\nhaltend. Der Weise wird den Ruhm gern andern lassen. Er sucht nicht\nfertige Tatsachen, die ihm als Verdienste angerechnet werden, wohl aber\nerhofft er wirkende Ursachen, d. h. er vollendet die Werke so, daß sie für\ndie Zukunft fruchtbringend sind.	28-31	Wenn man frei von Eitelkeit ist, so vermag man seine Vorzüge so zu ver-\ndecken, daß sie nicht vorzeitig die öffentliche Aufmerksamkeit auf sich ziehen.\nSo kann man in der Stille reifen. Wenn es die Verhältnisse erfordern, so\nmag man auch in die Öffentlichkeit hervortreten, aber auch dann zurück-\nhaltend. Der Weise wird den Ruhm gern andern lassen. Er sucht nicht\nfertige Tatsachen, die ihm als Verdienste angerechnet werden, wohl aber\nerhofft er wirkende Ursachen, d. h. er vollendet die Werke so, daß sie für\ndie Zukunft fruchtbringend sind.	pendiente	diff_zeno
L4_etiqueta	Sechs auf viertem Platz bedeutet:	Sechs auf viertem Platz bedeutet:	28-31	Sechs auf viertem Platz bedeutet:	pendiente	coincide_zeno
L4_oraculo	Zugebundener Sack. Kein Makel; kein Lob.	Zugebundener Sack. Kein Makel; kein Lob.	28-31	Zugebundener Sack. Kein Makel; kein Lob.	pendiente	coincide_zeno
